,Time,1,2,3
S/N,,227659,227659,227659
Type,,Tinytag Ultra H°C/%RH,Tinytag Ultra H°C/%RH,csv file
Description,,GH South wall,GH South wall,GH South wall
Property,,Temperature,Humidity,Dew Point
207,2020-02-05 15:09:00,12.8 °C,56.3 %RH,4.3 °C
208,2020-02-05 15:24:00,12.8 °C,56.3 %RH,4.3 °C
209,2020-02-05 15:39:00,12.6 °C,56.3 %RH,4.1 °C
210,2020-02-05 15:54:00,12.6 °C,56.3 %RH,4.1 °C
211,2020-02-05 16:09:00,12.6 °C,56.3 %RH,4.1 °C
212,2020-02-05 16:24:00,12.8 °C,56.3 %RH,4.3 °C
213,2020-02-05 16:39:00,12.8 °C,56.3 %RH,4.3 °C
214,2020-02-05 16:54:00,12.8 °C,56.3 %RH,4.3 °C
215,2020-02-05 17:09:00,12.8 °C,56.3 %RH,4.3 °C
216,2020-02-05 17:24:00,12.8 °C,56.3 %RH,4.3 °C
217,2020-02-05 17:39:00,12.8 °C,56.3 %RH,4.3 °C
218,2020-02-05 17:54:00,12.8 °C,55.8 %RH,4.2 °C
219,2020-02-05 18:09:00,12.8 °C,56.3 %RH,4.3 °C
220,2020-02-05 18:24:00,12.8 °C,56.3 %RH,4.3 °C
221,2020-02-05 18:39:00,12.8 °C,56.3 %RH,4.3 °C
222,2020-02-05 18:54:00,12.6 °C,56.3 %RH,4.1 °C
223,2020-02-05 19:09:00,12.6 °C,56.3 %RH,4.1 °C
224,2020-02-05 19:24:00,12.8 °C,56.3 %RH,4.3 °C
225,2020-02-05 19:39:00,12.8 °C,56.3 %RH,4.3 °C
226,2020-02-05 19:54:00,12.8 °C,56.3 %RH,4.3 °C
227,2020-02-05 20:09:00,12.8 °C,56.3 %RH,4.3 °C
228,2020-02-05 20:24:00,12.8 °C,56.3 %RH,4.3 °C
229,2020-02-05 20:39:00,12.8 °C,56.3 %RH,4.3 °C
230,2020-02-05 20:54:00,12.6 °C,56.3 %RH,4.1 °C
231,2020-02-05 21:09:00,12.3 °C,56.3 %RH,3.8 °C
232,2020-02-05 21:24:00,12.3 °C,56.3 %RH,3.8 °C
233,2020-02-05 21:39:00,12.6 °C,56.3 %RH,4.1 °C
234,2020-02-05 21:54:00,12.6 °C,56.3 %RH,4.1 °C
235,2020-02-05 22:09:00,12.6 °C,56.7 %RH,4.2 °C
236,2020-02-05 22:24:00,12.6 °C,56.7 %RH,4.2 °C
237,2020-02-05 22:39:00,12.6 °C,56.7 %RH,4.2 °C
238,2020-02-05 22:54:00,12.6 °C,56.7 %RH,4.2 °C
239,2020-02-05 23:09:00,12.6 °C,56.7 %RH,4.2 °C
240,2020-02-05 23:24:00,12.6 °C,56.7 %RH,4.2 °C
241,2020-02-05 23:39:00,12.6 °C,56.7 %RH,4.2 °C
242,2020-02-05 23:54:00,12.3 °C,56.7 %RH,3.9 °C
243,2020-02-06 00:09:00,12.3 °C,56.7 %RH,3.9 °C
